Sex,MoltType,Bin,8mm,13mm,18mm,23mm,28mm,33mm,38mm,43mm,48mm,53mm,58mm,63mm,68mm,73mm,78mm,83mm,88mm,93mm,98mm,103mm,108mm,113mm,118mm,123mm,128mm,133mm,138mm,143mm,148mm,153mm,158mm,163mm,168mm,173mm,178mm,183mm,188mm,193mm,198mm,203mm,208mm,213mm,218mm,223mm
2,SM,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796552604,0.042193408,0.094638861,0.054786031,0.011307554,0.000521135,0.000000408,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011228935,0.000520524,0.000000408,0,0,0,0,0,0,0,0,0,0,0
2,SM,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011228935,0.000520524,0.000000408,0,0,0,0,0,0,0,0,0,0
2,SM,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011228935,0.000520524,0.000000408,0,0,0,0,0,0,0,0,0
2,SM,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011228935,0.000520524,0.000000408,0,0,0,0,0,0,0,0
2,SM,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011228935,0.000520524,0.000000408,0,0,0,0,0,0,0
2,SM,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011228935,0.000520524,0.000000408,0,0,0,0,0,0
2,SM,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011228935,0.000520524,0.000000408,0,0,0,0,0
2,SM,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011228935,0.000520524,0.000000408,0,0,0,0
2,SM,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011228935,0.000520524,0.000000408,0,0,0
2,SM,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011228935,0.000520524,0.000000408,0,0
2,SM,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011228935,0.000520524,0.000000408,0
2,SM,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011228935,0.000520524,0.000000408
2,SM,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011228935,0.000520932
2,SM,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011749867
2,SM,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.065821637
2,SM,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.158568948
2,SM,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.199258125
2,SM,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,SM,8,0.346,0.5,0.077,0.077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,13,0.001,0.312,0.616,0.067,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,18,0,0.016,0.304,0.513,0.133,0.028,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,23,0,0.002,0.003,0.166,0.479,0.252,0.07,0.018,0.006,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,28,0,0,0,0,0.113,0.429,0.305,0.094,0.042,0.011,0.004,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,33,0,0,0,0,0,0.066,0.318,0.314,0.173,0.083,0.023,0.013,0.006,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,38,0,0,0,0,0,0,0.047,0.22,0.296,0.204,0.135,0.059,0.01,0.012,0.008,0.004,0.004,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,43,0,0,0,0,0,0,0,0.025,0.21,0.243,0.23,0.13,0.068,0.045,0.02,0.013,0.013,0.003,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,48,0,0,0,0,0,0,0,0,0.026,0.178,0.162,0.242,0.121,0.108,0.072,0.031,0.031,0,0.005,0.005,0.008,0.005,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,53,0,0,0,0,0,0,0,0,0,0.036257225,0.346514621,0.459687376,0.140879158,0.016151829,0.000508666,0.00000112,1.93E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,58,0,0,0,0,0,0,0,0,0,0,0.041917142,0.261527545,0.490053133,0.183806305,0.022050861,0.000643896,0.00000112,5.3E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,63,0,0,0,0,0,0,0,0,0,0,0,0.053561384,0.187468975,0.494218876,0.23294449,0.030903968,0.000900932,0.00000137,2.09E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,68,0,0,0,0,0,0,0,0,0,0,0,0,0.070405225,0.127808235,0.472972084,0.284047305,0.04342232,0.001342853,0.00000198,2.04E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0927428,0.083112231,0.430740814,0.33129244,0.060042457,0.00206607,0.00000319,2.98E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121431771,0.051612803,0.374027829,0.368876489,0.08083284,0.003212708,0.00000556,5.75E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157494015,0.030556854,0.309887426,0.391855667,0.105223016,0.004972815,0.0000102,1.46E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201805944,0.017219486,0.244861484,0.396773392,0.131747339,0.007573027,0.0000193,4.48E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254804157,0.009214923,0.184217084,0.382436498,0.158041897,0.011248294,0.0000371,1.68E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316193641,0.004671783,0.131631208,0.350233951,0.181016898,0.01618098,0.0000715,7.43E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384724725,0.002239054,0.08906623,0.304047068,0.197370593,0.022415734,0.000136596,3.8E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458148086,0.001013796,0.056924817,0.249655162,0.204271703,0.029730941,0.000255495,2.17E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53343182,0.000435928,0.03438661,0.193704196,0.200099719,0.03748131,0.000460418,1.32E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607225777,0.00018044,0.019731444,0.142172275,0.185238568,0.044664052,0.000787445,8.18E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676435568,0.0000731,0.01084388,0.099060277,0.162159634,0.050164561,0.001262942,4.9E-11,0,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738708062,0.0000296,0.005772932,0.065919057,0.134599701,0.053086591,0.001884046,2.72E-10,0,0,0,0,0,0,0,0,0,0,0,0
1,SM,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789688854,0.0000122,0.003018447,0.042405625,0.107663672,0.054466947,0.002744233,1.46E-09,0,0,0,0,0,0,0,0,0,0,0
1,SM,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.00000585,0.001794972,0.030962113,0.098349243,0.064359269,0.004528542,8.25E-09,0,0,0,0,0,0,0,0,0,0
1,SM,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.00000338,0.001204162,0.024253884,0.092332952,0.075106716,0.007098868,4.17E-08,0,0,0,0,0,0,0,0,0
1,SM,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.00000208,0.000824603,0.0188911,0.084761882,0.084905461,0.010614689,0.000000189,0,0,0,0,0,0,0,0
1,SM,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.00000136,0.000578445,0.014676517,0.076265927,0.093253048,0.015223929,0.00000077,0,0,0,0,0,0,0
1,SM,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.000000961,0.000417078,0.011405013,0.067380613,0.099735192,0.021058294,0.00000285,0,0,0,0,0,0
1,SM,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.000000729,0.000310156,0.008887203,0.058532547,0.104031856,0.028227889,0.00000962,0,0,0,0,0
1,SM,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.000000599,0.000238927,0.006964101,0.05004895,0.105905049,0.036812558,0.0000298,0,0,0,0
1,SM,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.000000537,0.000191822,0.005507777,0.042173439,0.10520632,0.046835285,0.0000848,0,0,0
