Sex,MoltTiming,Bin,53mm,58mm,63mm,68mm,73mm,78mm,83mm,88mm,93mm,98mm,103mm,108mm,113mm,118mm,123mm,128mm,133mm,138mm,143mm,148mm,153mm,158mm,163mm,168mm,173mm,178mm,183mm,188mm,193mm,198mm,203mm,208mm,213mm,218mm,223mm
2,m1,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011228935,0.000520524,4.08E-07
2,m1,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011228935,0.000520932
2,m1,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011749867
2,m1,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.065821637
2,m1,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.158568948
2,m1,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.199258125
2,m1,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,m1,53,0.036257225,0.346514621,0.459687376,0.140879158,0.016151829,0.000508666,1.12E-06,1.93E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,m1,58,0,0.041917142,0.261527545,0.490053133,0.183806305,0.022050861,0.000643896,1.12E-06,5.30E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,m1,63,0,0,0.053561384,0.187468975,0.494218876,0.23294449,0.030903968,0.000900932,1.37E-06,2.09E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
